City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Rawson,AR,-43.3002,-65.1023,45.12,42,1,14.47,clear sky
112,Iqaluit,CA,63.7506,-68.5145,56.93,58,90,11.01,overcast clouds
113,Upernavik,GL,72.7868,-56.1549,39.97,87,5,12.39,clear sky
114,Pucara,PE,-15.9803,-71.4606,32.13,59,14,3.31,few clouds
115,Port Alfred,ZA,-33.5906,26.891,57.58,64,0,6.46,clear sky
116,Mar Del Plata,AR,-38.0023,-57.5575,50.0,64,0,1.01,clear sky
117,Chuy,UY,-33.6971,-53.4616,43.57,86,0,6.91,clear sky
118,Ribeira Grande,PT,38.5167,-28.7,70.36,85,96,5.28,overcast clouds
119,Saint-Leu,RE,-21.15,55.2833,65.26,65,5,7.25,clear sky
120,Butaritari,KI,3.0707,172.7902,80.37,77,67,4.18,light rain
121,Jamestown,US,42.097,-79.2353,62.37,82,75,3.44,broken clouds
122,Adrar,MR,20.5022,-10.0711,88.93,29,16,11.56,few clouds
123,North Las Vegas,US,36.1989,-115.1175,90.82,38,20,8.05,few clouds
124,Port Hueneme,US,34.1478,-119.1951,84.65,87,90,6.91,overcast clouds
125,Novovorontsovka,UA,47.5004,33.9175,72.19,60,0,6.44,clear sky
126,Utete,TZ,-7.986,38.758,70.16,75,60,3.96,broken clouds
127,Saldanha,ZA,-33.0117,17.9442,46.45,75,3,7.67,clear sky
128,Okahandja,NA,-21.9833,16.9167,53.91,28,0,13.35,clear sky
129,Jinxiang,CN,27.4327,120.6062,84.67,83,93,10.04,light rain
130,Nancha,CN,47.1333,129.2667,75.33,96,100,4.81,overcast clouds
131,Yulara,AU,-25.2406,130.9889,78.64,31,22,27.63,few clouds
132,Sabla,NG,12.7525,4.7077,74.12,87,76,7.76,broken clouds
133,Bredasdorp,ZA,-34.5322,20.0403,43.92,93,5,5.75,clear sky
134,Osa,RU,57.2829,55.4567,65.28,89,85,4.38,overcast clouds
135,Vanavara,RU,60.34,102.2797,80.35,32,38,1.88,scattered clouds
136,Salym,RU,60.0625,71.4789,56.37,97,100,5.14,overcast clouds
137,Karasjok,NO,69.4719,25.5112,44.71,87,100,8.14,overcast clouds
138,Waingapu,ID,-9.6567,120.2641,86.9,52,6,14.7,clear sky
139,Kindu,CD,-2.95,25.95,68.92,48,59,2.62,broken clouds
140,Vrangel,RU,42.7297,133.0839,79.27,77,89,19.89,overcast clouds
141,Winona,US,43.9666,-91.7668,63.46,96,61,5.28,broken clouds
142,Hanmer Springs,NZ,-42.5167,172.8167,58.28,64,76,2.82,broken clouds
143,Longyearbyen,SJ,78.2186,15.6401,39.04,70,75,14.97,broken clouds
144,Jiazi,CN,22.8779,116.067,87.93,72,66,15.55,broken clouds
145,Souillac,MU,-20.5167,57.5167,70.18,73,75,11.5,broken clouds
