City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Cidreira,BR,2021-07-29 23:37:55,-30.1811,-50.2056,45.68,70,6,8.48
104,San Antonio,US,2021-07-29 23:36:52,29.4241,-98.4936,95.45,60,40,1.99
105,Yar-Sale,RU,2021-07-29 23:39:41,66.8333,70.8333,48.06,96,98,10.09
106,Codrington,AU,2021-07-29 23:37:22,-38.2667,141.9667,50.41,63,49,24.7
107,Xining,CN,2021-07-29 23:41:31,36.6167,101.7667,61.32,43,0,2.3
108,Bambous Virieux,MU,2021-07-29 23:37:52,-20.3428,57.7575,69.22,88,75,14.97
109,Yellowknife,CA,2021-07-29 23:37:20,62.456,-114.3525,72.12,43,75,5.01
110,Belousovka,KZ,2021-07-29 23:41:32,50.1339,82.5239,50.85,93,75,4.47
111,Hithadhoo,MV,2021-07-29 23:38:06,-0.6,73.0833,82.09,72,100,4.16
112,Uniara,IN,2021-07-29 23:41:33,26.15,75.2167,79.2,83,95,12.03
113,Torbay,CA,2021-07-29 23:37:44,47.6666,-52.7314,63.27,67,1,13.8
114,Karratha,AU,2021-07-29 23:39:21,-20.7377,116.8463,68.81,65,12,5.26
115,Ancud,CL,2021-07-29 23:38:36,-41.8697,-73.8203,44.13,86,90,8.77
116,Shalya,RU,2021-07-29 23:41:34,57.2471,58.7298,53.65,98,90,3.33
117,San Vicente,AR,2021-07-29 23:41:34,-26.6167,-54.1333,33.82,74,0,2.8
118,Bayir,TR,2021-07-29 23:37:53,37.2687,28.2167,79.32,32,0,4.97
119,Constitucion,CL,2021-07-29 23:38:42,-35.3333,-72.4167,51.58,75,0,2.91
120,Half Moon Bay,US,2021-07-29 23:41:35,37.4636,-122.4286,97.75,64,40,13.8
121,San Luis Potosi,MX,2021-07-29 23:41:35,22.5,-100.5,79.34,49,97,18.81
122,Darhan,MN,2021-07-29 23:39:55,49.4867,105.9228,58.89,88,98,11.12
123,Emerald,AU,2021-07-29 23:41:35,-23.5333,148.1667,65.34,42,0,12.66
124,Nanortalik,GL,2021-07-29 23:38:02,60.1432,-45.2371,45.7,84,94,16.84
125,Strezhevoy,RU,2021-07-29 23:41:36,60.7333,77.5889,49.98,95,100,6.6
126,Georgetown,MY,2021-07-29 23:38:32,5.4112,100.3354,77.9,92,20,3.44
127,Aykhal,RU,2021-07-29 23:35:54,66.0,111.5,72.07,32,34,6.55
128,Faanui,PF,2021-07-29 23:37:53,-16.4833,-151.75,78.49,75,62,10.47
129,Nelson Bay,AU,2021-07-29 23:41:37,-32.7167,152.15,54.95,70,0,4.97
130,Huanan,CN,2021-07-29 23:41:37,46.2167,130.5167,71.6,93,100,3.6
131,Hobart,AU,2021-07-29 23:37:56,-42.8794,147.3294,53.26,69,75,1.99
132,Ahipara,NZ,2021-07-29 23:38:27,-35.1667,173.1667,62.26,75,95,15.08
133,Krasnoarmeysk,RU,2021-07-29 23:41:38,51.0239,45.6969,71.29,79,42,9.17
134,Leningradskiy,RU,2021-07-29 23:38:46,69.3833,178.4167,32.63,97,100,20.33
135,Husavik,IS,2021-07-29 23:41:38,66.0449,-17.3389,51.71,94,86,2.42
136,Muli,MV,2021-07-29 23:38:43,2.9167,73.5667,81.54,74,83,8.68
137,Nemuro,JP,2021-07-29 23:41:39,43.3236,145.575,67.8,96,92,9.44
138,Moju,BR,2021-07-29 23:41:39,-1.8839,-48.7689,77.07,94,81,3.4
139,Watertown,US,2021-07-29 23:41:40,42.3709,-71.1828,70.86,84,90,1.01
140,Port Alfred,ZA,2021-07-29 23:35:30,-33.5906,26.891,55.96,86,2,10.22
141,Tigil,RU,2021-07-29 23:41:40,57.8,158.6667,56.55,57,92,11.45
142,Agua Verde,MX,2021-07-29 23:41:41,22.9,-106.05,90.03,68,6,7.7
143,Sao Joao Dos Patos,BR,2021-07-29 23:41:41,-6.495,-43.7022,79.18,40,28,2.86
144,Goryachegorsk,RU,2021-07-29 23:41:41,55.4053,88.9154,56.05,79,100,3.02
145,Luan,CH,2021-07-29 23:41:42,46.3592,6.9759,61.92,92,30,4.0
146,Kodiak,US,2021-07-29 23:34:19,57.79,-152.4072,56.71,72,90,8.05
147,Hasaki,JP,2021-07-29 23:39:01,35.7333,140.8333,81.0,80,37,8.9
148,Mahebourg,MU,2021-07-29 23:35:19,-20.4081,57.7,69.26,88,75,14.97
149,Derzhavinsk,KZ,2021-07-29 23:40:10,51.1,66.3167,54.77,56,1,2.82
150,Marovoay,MG,2021-07-29 23:39:26,-16.1,46.6333,73.54,63,63,8.48
151,Saskylakh,RU,2021-07-29 23:39:44,71.9167,114.0833,78.69,43,10,5.37
152,Pacific Grove,US,2021-07-29 23:41:43,36.6177,-121.9166,94.15,79,1,8.99
153,Port Hardy,CA,2021-07-29 23:38:32,50.6996,-127.4199,69.98,73,75,10.36
154,Punta Arenas,CL,2021-07-29 23:35:08,-53.15,-70.9167,39.31,81,0,20.71
155,Santa Maria,BR,2021-07-29 23:40:31,-29.6842,-53.8069,40.3,87,0,1.14
156,Dingle,PH,2021-07-29 23:38:50,10.9995,122.6711,83.44,77,95,11.61
157,Iqaluit,CA,2021-07-29 23:38:01,63.7506,-68.5145,51.53,71,75,11.5
158,Mount Isa,AU,2021-07-29 23:38:45,-20.7333,139.5,73.17,31,1,0.0
159,Rocha,UY,2021-07-29 23:36:04,-34.4833,-54.3333,39.9,84,12,4.79
160,Tiksi,RU,2021-07-29 23:37:58,71.6872,128.8694,55.62,49,80,2.71
161,Labuhan,ID,2021-07-29 23:39:06,-6.8844,112.2051,77.77,81,96,7.65
162,Mandiana,GN,2021-07-29 23:41:45,10.6333,-8.6833,71.89,90,92,5.77
163,Vao,NC,2021-07-29 23:41:45,-22.6667,167.4833,71.6,62,70,12.24
164,Tazovskiy,RU,2021-07-29 23:41:46,67.4667,78.7,51.55,95,24,11.65
165,Omboue,GA,2021-07-29 23:41:46,-1.5746,9.2618,74.19,81,30,7.56
166,Buraydah,SA,2021-07-29 23:36:52,26.326,43.975,90.05,16,98,7.99
167,Puerto Quijarro,BO,2021-07-29 23:41:47,-17.7833,-57.7667,56.75,24,2,3.89
168,Klyuchi,RU,2021-07-29 23:41:47,52.2667,79.1667,55.44,66,55,6.13
169,Chicama,PE,2021-07-29 23:41:48,-7.8447,-79.1469,63.14,82,21,6.26
170,Gwadar,PK,2021-07-29 23:41:48,25.1216,62.3254,81.73,87,100,7.43
171,Port Elizabeth,ZA,2021-07-29 23:38:00,-33.918,25.5701,52.09,87,0,5.75
172,Lamu,KE,2021-07-29 23:41:49,-2.2717,40.902,75.42,79,75,15.9
173,Bengkulu,ID,2021-07-29 23:37:48,-3.8004,102.2655,75.06,89,33,4.94
174,Paamiut,GL,2021-07-29 23:41:49,61.994,-49.6678,45.23,83,79,2.08
175,Caravelas,BR,2021-07-29 23:40:50,-17.7125,-39.2481,70.25,78,100,15.05
176,Floro,NO,2021-07-29 23:41:50,61.5996,5.0328,60.96,94,75,6.91
177,Zhigansk,RU,2021-07-29 23:41:50,66.7697,123.3711,65.25,43,6,6.02
178,Bilma,NE,2021-07-29 23:41:50,18.6853,12.9164,94.86,26,6,8.7
179,Neyshabur,IR,2021-07-29 23:41:51,36.2133,58.7958,72.27,55,0,1.7
180,Kavieng,PG,2021-07-29 23:36:34,-2.5744,150.7967,84.43,70,47,6.46
181,Saldanha,ZA,2021-07-29 23:37:41,-33.0117,17.9442,44.65,86,0,4.85
182,Puerto Leguizamo,CO,2021-07-29 23:41:51,-0.1934,-74.7819,71.65,98,78,2.62
183,Ngara,TZ,2021-07-29 23:41:52,-2.5122,30.6558,59.0,48,49,2.93
184,Chuy,UY,2021-07-29 23:38:13,-33.6971,-53.4616,42.37,80,58,6.22
185,Kailua,US,2021-07-29 23:38:10,21.4022,-157.7394,87.78,66,75,14.97
186,Paragominas,BR,2021-07-29 23:41:53,-2.9667,-47.4833,75.4,83,63,3.6
187,Barrow,US,2021-07-29 23:38:37,71.2906,-156.7887,53.62,87,90,5.75
188,Barbastro,ES,2021-07-29 23:41:53,42.0356,0.1269,73.94,60,0,2.8
189,Boyolangu,ID,2021-07-29 23:41:54,-8.1181,111.8935,76.32,87,80,4.45
190,Comodoro Rivadavia,AR,2021-07-29 23:38:53,-45.8667,-67.5,62.46,22,0,9.22
191,Bida,NG,2021-07-29 23:41:54,9.0833,6.0167,75.13,88,95,3.15
192,Dunhua,CN,2021-07-29 23:41:55,43.3725,128.2425,71.2,96,100,0.87
193,Mehamn,NO,2021-07-29 23:41:55,71.0357,27.8492,43.77,85,100,3.98
194,Ambon,ID,2021-07-29 23:37:40,-3.6954,128.1814,75.34,94,40,7.65
195,Great Falls,US,2021-07-29 23:41:38,47.5002,-111.3008,90.79,24,20,4.0
196,Bar Harbor,US,2021-07-29 23:41:02,44.3876,-68.2039,63.09,86,90,11.01
197,Verkhnyaya Inta,RU,2021-07-29 23:39:55,65.9811,60.3094,45.73,87,88,3.78
198,Loreto,MX,2021-07-29 23:41:56,22.2667,-101.9667,72.32,44,93,10.36
199,Norman Wells,CA,2021-07-29 23:35:29,65.282,-126.8329,68.04,64,75,3.44
200,Adrian,US,2021-07-29 23:41:11,41.8975,-84.0372,85.71,67,1,5.99
201,Sitka,US,2021-07-29 23:38:44,57.0531,-135.33,67.89,60,20,6.91
202,Bonthe,SL,2021-07-29 23:41:57,7.5264,-12.505,76.53,80,70,5.3
203,Dimapur,IN,2021-07-29 23:41:57,25.9,93.7333,76.59,98,100,2.37
204,Winnemucca,US,2021-07-29 23:39:17,40.973,-117.7357,98.65,12,1,12.66
205,Minot,US,2021-07-29 23:40:52,48.2325,-101.2963,86.77,26,1,6.91
206,Hualmay,PE,2021-07-29 23:37:27,-11.0964,-77.6139,63.61,85,47,8.25
207,Marienburg,PL,2021-07-29 23:41:58,54.0359,19.0266,65.88,73,46,8.34
208,Sao Jose Da Coroa Grande,BR,2021-07-29 23:41:59,-8.8978,-35.1478,74.44,85,63,6.89
209,Kununurra,AU,2021-07-29 23:38:00,-15.7667,128.7333,69.78,83,3,0.0
210,Sur,OM,2021-07-29 23:38:41,22.5667,59.5289,91.44,51,100,16.28
211,Durusu,TR,2021-07-29 23:41:59,41.3053,28.6767,77.18,70,0,1.99
212,Chunskiy,RU,2021-07-29 23:42:00,56.0815,99.6342,55.53,82,100,4.92
213,Atar,MR,2021-07-29 23:42:00,20.5169,-13.0499,88.45,34,86,10.87
214,Synya,RU,2021-07-29 23:39:36,65.3718,58.0387,40.73,97,19,1.92
215,Kysyl-Syr,RU,2021-07-29 23:42:00,63.8986,122.7617,68.32,40,61,0.92
216,Dasoguz,TM,2021-07-29 23:42:01,41.8363,59.9666,69.75,43,0,6.91
217,Pemangkat,ID,2021-07-29 23:40:45,1.1667,108.9667,79.7,87,99,8.05
218,Lata,PT,2021-07-29 23:42:01,40.1629,-8.3327,60.06,98,6,1.83
219,Yurty,RU,2021-07-29 23:42:02,56.0498,97.6348,56.77,84,98,4.5
220,Meulaboh,ID,2021-07-29 23:42:02,4.1363,96.1285,75.51,84,100,3.42
221,Barbacoas,CO,2021-07-29 23:42:03,1.6715,-78.1398,75.4,96,79,2.24
222,Hamina,FI,2021-07-29 23:42:03,60.5697,27.1979,61.88,84,3,16.51
223,Airai,TL,2021-07-29 23:40:27,-8.9266,125.4092,68.45,44,37,3.18
224,Finnsnes,NO,2021-07-29 23:42:04,69.2296,17.9811,48.16,84,78,4.36
225,Karasburg,NA,2021-07-29 23:42:04,-28.0167,18.75,49.91,32,0,8.57
226,Ekibastuz,KZ,2021-07-29 23:42:05,51.6667,75.3667,58.23,51,13,4.74
227,Carnarvon,AU,2021-07-29 23:35:22,-24.8667,113.6333,64.47,72,90,9.22
228,Tautira,PF,2021-07-29 23:39:08,-17.7333,-149.15,80.62,77,52,2.82
229,Jacksonville,US,2021-07-29 23:41:48,30.3322,-81.6556,86.0,78,75,1.01
230,Shurugwi,ZW,2021-07-29 23:42:05,-19.6702,30.0059,46.8,58,2,2.08
231,Dunedin,NZ,2021-07-29 23:33:49,-45.8742,170.5036,48.79,90,84,8.99
232,Shasta Lake,US,2021-07-29 23:42:06,40.6804,-122.3708,108.82,17,8,4.0
233,Mragowo,PL,2021-07-29 23:42:06,53.8644,21.3051,59.0,81,54,7.2
234,Ca Mau,VN,2021-07-29 23:42:07,9.1769,105.15,76.55,92,99,12.46
235,Thompson,CA,2021-07-29 23:35:23,55.7435,-97.8558,77.16,36,40,5.75
236,Ambilobe,MG,2021-07-29 23:42:08,-13.2,49.05,63.37,91,2,3.6
237,Nacozari,MX,2021-07-29 23:42:08,25.3366,-108.2574,96.12,64,21,14.34
238,Puerto Escondido,MX,2021-07-29 23:39:34,15.85,-97.0667,79.63,69,90,4.61
